true_act	pred_act	true_turn	pred_turn
offer	offer	Dave; does anyone have any wood they would be willing to trade for?; Offer	[Offer]
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	offer	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Offer]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	offer	rennoc1; got some clay. how many do you need; Accept	[Offer]
offer	accept	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Accept]
counteroffer	counteroffer	rennoc1; could do with some ore or sheep; Counteroffer	Counteroffer
counteroffer	counteroffer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	Counteroffer
accept	offer	Tomm; I have sheep, yes.; Accept	[Offer]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	counteroffer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[counteroffer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	offer	Tomm; rennoc: Sheep for an ore?; Offer	[Offer]
counteroffer	counteroffer	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	Counteroffer
offer	counteroffer	Dave; anyone need wheat?; Offer	Counteroffer
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	counteroffer	Dave; rennoc?; Offer	Counteroffer
refusal	counteroffer	rennoc1; i'm ok for now; Refusal	Counteroffer
offer	offer	rennoc1; any got any wood they can trade; Offer	[Offer]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	offer	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Offer]
offer	offer	Dave; anyone need ore?; Offer	[Offer]
accept	counteroffer	rennoc1; yep; Accept	Counteroffer
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	other	rennoc1; got some clay.; Accept	[Offer] 
offer	counteroffer	Dave; 1 ore for 1 clay?; Offer	Counteroffer
