true_act	pred_act	true_turn	pred_turn
refusal	accept	Tomm; Not until people start rolling 8's :P; Refusal	[Accept]
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	other	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[player_4] Accept
counteroffer	other	rennoc1; could do with some ore or sheep; Counteroffer	[Other]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	other	Dave; sure; Accept	[player_1] Accept
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	other	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Counteroffer] Player_1: I can give you 2 wheat for that ore.
offer	other	Dave; anyone need wheat?; Offer	[Other]
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	offer	rennoc1; i'm ok for now; Refusal	[Offer]
offer	other	rennoc1; any got any wood they can trade; Offer	[player_1: Offer]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	other	rennoc1; yep; Accept	[Offer] 
[player_1] I could use some ore, what are you looking for in return?
offer	other	Dave; willing to trade for clay and sheep; Offer	[Other]
counteroffer	offer	Tomm; what for?; Counteroffer	[Offer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	accept	rennoc1; ok; Accept	[Accept]
offer	other	Tomm; Wheat? Sheep?; Offer	[player_1: Counteroffer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer]
accept	other	Tomm; Ore would be good.; Accept	[Other]
offer	other	Dave; 1 ore for 1 sheep it is; Offer	[Offer] "I have extra ore, willing to trade for wheat or wood."
counteroffer	counteroffer	rennoc1; can I have some wood dave?; Counteroffer	[Counteroffer]
counteroffer	other	Dave; what have you got to trade?; Counteroffer	[Offer] Alex: Sure, I can give you 2 wood for 1 wheat.
counteroffer	offer	rennoc1; sheep; Counteroffer	[Offer]
accept	offer	Dave; I guess I can use two sheep; Accept	[Offer]
accept	offer	Dave; yeah, go ahead; Accept	[Offer]
offer	offer	Dave; Still want to trade?; Offer	[Offer]
accept	refusal	Tomm; Yes, do you still want to? do you still want to?; Accept	[Refusal]
accept	other	Dave; and yeah, and yeah, sure; Accept	[Other]
offer	offer	Dave; actually, instead of sheep, do you have any wood or clay?; Offer	[Offer]
refusal	accept	Tomm; Ah, 'fraid not; Refusal	[Accept]
offer	other	Dave; rennoc?; Offer	[Other]
refusal	offer	rennoc1; nope dont have either; Refusal	[Offer]
refusal	refusal	Tomm; You just nicked my wheat :P; Refusal	[Refusal]
refusal	other	Tomm; Not going to buy it back; Refusal	[Other]
offer	other	Dave; Want to buy it back? :D; Offer	[Other]
offer	other	Tomm; Anyone want anything for wood?; Offer	[Other]
refusal	other	rennoc1; dont have any, sorry; Refusal	[Other]
offer	other	Tomm; So no wood anyone? okay okay; Offer	[Other]
refusal	offer	Dave; nope, sorry; Refusal	[Offer]
offer	other	rennoc1; so anyone have any ore? I have sheep to spare; Offer	[Other]
counteroffer	offer	Dave; I have wheat; Counteroffer	[Offer]
