true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other]
refusal	offer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Offer]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	offer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Offer]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	offer	Dave; Need ore or wheat?; Counteroffer	[Offer]
offer	counteroffer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Counteroffer]
accept	other	Dave; sure; Accept	[player_1: Counteroffer]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	accept	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Accept]
offer	accept	Dave; anyone need wheat?; Offer	[Accept]
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	other	Dave; rennoc?; Offer	[Offer] Anyone willing to trade wheat for ore?
refusal	offer	rennoc1; i'm ok for now; Refusal	[Offer]
offer	other	rennoc1; any got any wood they can trade; Offer	[Other]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	offer	rennoc1; yep; Accept	[Offer]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	other	Tomm; what for?; Counteroffer	[player_4: Refusal]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	other	Dave; 1 ore for 1 clay?; Offer	[Offer] player_2: I can give you 1 clay for 1 wheat.
accept	other	rennoc1; ok; Accept	[player_0: Refusal]
offer	other	Tomm; Wheat? Sheep?; Offer	[Other]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	offer	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Offer]
refusal	other	rennoc1; yeah, ive nothing either; Refusal	[Other]
accept	offer	Tomm; Ore would be good.; Accept	[Offer]
offer	other	Dave; 1 ore for 1 sheep it is; Offer	[player_0: Offer]
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
